retailer,store #,store name,address,city,state,zip,notes,phone,country
Nordstrom,637,Cherry Hill,2000 Route 38,Cherry Hill,NJ,8002,W+W,856-773-5600,USA
Bloomingdales,5,Bergen County - Riverside,400 Hackensack Ave,Hackensack,NJ,07601,Premade Only (Dreamer Style),,USA
Bloomingdales,6,Short Hills,1200 Morris Turnpike,Short Hills,NJ,07078,Premade Only (Dreamer Style),,USA
Bloomingdales,24,Bridgewater,410 Commons Way,Bridgewater,NJ,08807,Premade Only (Dreamer Style),,USA
Bloomingdales,37,Willowbrook Place,1400 Willowbrook Mall,Wayne ,NJ,07470,Premade Only (Dreamer Style),,USA
Macy's,8,MENLO PARK,275 Parsonage Rd,Edison,NJ,08837,Tops & Accessories,,USA
Macy's,9,WOODBRIDGE CENTER,237 Woodbridge Center Dr,Woodbridge,NJ,07095,Tops,,USA
Macy's,15,SHORT HILLS,1220 Morris Turnpike,Short Hills,NJ,07078,Tops & Accessories,,USA
Macy's,17,FREEHOLD RACEWAY,3710 Route 9 South,Freehold,NJ,07728,Tops,,USA
Macy's,52,MONMOUTH / MONMOUTH MALL,180 RT 35,Eatontown,NJ,07724,Tops & Accessories,,USA
Macy's,59,CHERRY HILL,2000 Rt 38; Suite 200 Cherry Hill Mall,Cherry Hill,NJ,08002,Tops & Accessories,,USA
Macy's,65,Quaker Bridge /Quaker Bridge Mall ,400 Quaker Bridge Road ,Lawrenceville ,NJ,08648,Tops & Accessories,,USA
Macy's,66,DEPTFORD,1750 Almonesson Rd,Woodbury,NJ,08096,Tops,,USA
Macy's,71,OCEAN COUNTY (NJ),1201 Hooper Ave,Toms River,NJ,08753,Tops,,USA
Macy's,72,ROCKAWAY TOWNSQUARE,303 Mount Hope Ave,Rockaway,NJ,07866,Tops,,USA
Macy's,75,GARDEN STATE PLAZA,500 Garden State Plaza,Paramus,NJ,07652,Tops & Accessories,,USA
Macy's,76,WILLOWBROOK (NJ),100 Route 46,Wayne,NJ,07470,Tops & Accessories,,USA
Macy's,80,HAMILTON,4401 Blackhorse Pike,Mays Landing,NJ,08330,Tops,,USA
Macy's,81,BRIDGEWATER COMMONS,400 Commons Way,Bridgewater,NJ,08807,Tops & Accessories,,USA
Macy's,174,NEWPORT CENTRE (NJ),20 Mall Drive East,Jersey City,NJ,07310,Tops,,USA
Lord & Taylor,55,Westfield,609 North Ave, Westfield,NJ,7090,Customization + Premades,,USA
Lord & Taylor,58, Quaker Bridge Mall, Quakerbridge Rd, Lawrenceville,NJ,8648,Customization + Premades,,USA
Nordstrom,386,Fashion Show Mall,3200 Las Vegas Boulevard S,Las Vegas,NV,89109,W+W,702-862-2525,USA
Macy's,409,RENO MEADOWOOD,5100 Meadowood Mall,Reno,NV,89502,Tops & Accessories,,USA
Macy's,532,LAS VEGAS FASHION SHOW,3200 Las Vegas Blvd South,Las Vegas,NV,89109,Tops & Accessories,,USA
Macy's,537,HENDERSON GALLERIA AT SUNSET,1304 Sunset Rd,Henderson,NV,89014,Tops,,USA
Macy's,558,SUMMERLIN,10973 Summerlin Center Dr,Las Vegas,NV,89135,Tops,,USA
Nordstrom,523,The Westchester,135 Westchester Avenue,White Plains,NY,10601,Loungewear & W+W,914-946-1122,USA
Nordstrom,524,Roosevelt Field,630 Old Country Road,Garden City,NY,11530,W+W,516-746-0011,USA
Bloomingdales,1,59th St. - New York,1000 Third Ave,New York,NY,10022,Customization + Premades + Pets coming!,,USA
Bloomingdales,4,Huntington,270 Walt Whitman Rd,Huntington STA,NY,11746,Premade Only (Dreamer Style),,USA
Bloomingdales,12,White Plains,175 Bloomingdale Rd,White Plains,NY,10605,Customization + Premades,,USA
Bloomingdales,27,Roosevelt Field,630 Old Country Rd,Garden City,NY,11530,Customization + Premades,,USA
Bloomingdales,53,Soho,504 Broadway,New York,NY,10012,Premade Only (Dreamer Style),,USA
Macy's,1,QUEENS CENTER,90-01 Queens Blvd,Elmhurst,NY,11373,Tops & Accessories,,USA
Macy's,2,BROOKLYN (DOWNTOWN),422 Fulton St,Brooklyn,NY,11201,Tops,,USA
Macy's,3,HERALD SQUARE,151 West 34th St,New York,NY,10001,Tops & Accessories,,USA
Macy's,5,MANHASSET,1100 Northern Blvd,Manhasset,NY,11030,Tops & Accessories,,USA
Macy's,6,KINGS PLAZA,5400 Avenue U,Brooklyn,NY,11234,Tops & Accessories,,USA
Macy's,7,Staten Island / Staten Island Mall,112 Richmond Hill Road,Staten Island,NY,10314,Tops & Accessories,,USA
Macy's,13,SMITH HAVEN,2 Smith Haven Mall,Lake Grove,NY,11755,Tops & Accessories,,USA
Macy's,19,VALLEY STREAM - GREEN ACRES,1000 Green Acres Mall,Valley Stream ,NY,11581,Tops & Accessories,,USA
Macy's,53,ROOSEVELT FIELD,630 Old Country Rd,Garden City,NY,11530,Tops & Accessories,,USA
Macy's,56,SOUTHSHORE (NY),1653 Sunrise Highway,Bay Shore,NY,11706,Tops,,USA
Macy's,82,MALL AT BAY PLAZA,100 Baychester Ave,Bronx,NY,10475,Tops,,USA
Macy's,83,COLONIE CENTER,200 Colonie Center,Albany,NY,12205,Tops & Accessories,,USA
Macy's,132,EASTVIEW (NY),7979 Victor-Pittsford Rd,Victor,NY,14564,Tops,,USA
Macy's,147,WALDEN GALLERIA,4 Walden Galleria,Cheektowanga,NY,14225,Tops & Accessories,,USA
Macy's,148,DESTINY USA,9509 Carousel Center,Syracuse,NY,13204,Tops,,USA
Macy's,170,Commack ,2 Veterans Memorial Hwy,Commack,NY,11725,Tops,,USA
Macy's,173,CROSS COUNTY SC (NY),800 Central Park Ave,Yonkers,NY,10704,Tops & Accessories,,USA
Macy's,185,FLUSHING (NY),136-50 Roosevelt Ave,Flushing,NY,11354,Tops & Accessories,,USA
Macy's,206,PALISADES CENTER,1920 Palisades Center Drive,West Nyack,NY,10994,Tops,,USA
Lord & Taylor,1,New York (5th Avenue),424 5th Ave, New York,NY,10018,Customization + Premades,,USA
Lord & Taylor,3,Vernon Hills Shopping Center, 750 White Plains Rd, Scarsdale,NY,10583,Customization + Premades,,USA
Nordstrom,239,Kenwood Towne Centre,7801 Montgomery Road,Cincinnati,OH,45236,W+W,513-699-4190,USA
Nordstrom,234,Easton Town Center,4000 Worth Avenue,Columbus,OH,43219,W+W,614-416-7111,USA
Nordstrom,227,Beachwood Place,26200 Cedar Road,Beachwood,OH,44122,W+W,216-378-2121,USA
Macy's,560,KENWOOD TOWNE CENTRE,7875 Montgomery Rd,Cincinnati,OH,45236,Tops & Accessories,,USA
Macy's,572,SUMMIT (OH),3265 West Market St,Akron,OH,44333,Tops & Accessories,,USA
Macy's,573,GREAT NORTHERN (OH),25801 Brookpark Rd,North Olmsted,OH,44070,Tops,,USA
Macy's,575,BELDEN,4300 Belden Village Ave,Canton,OH,44718,Tops,,USA
Macy's,584,EASTON TOWN CENTER,4141 Easton Loop East,Columbus,OH,43219,Tops & Accessories,,USA
Macy's,585,TUTTLE CROSSING,5123 Tuttle Crossing Blvd,Columbus,OH,43016,Tops & Accessories,,USA
Macy's,586,POLARIS FASHION PLACE (OH),1300 Polaris Pkwy,Columbus,OH,43240,Tops & Accessories,,USA
Macy's,587,DAYTON,2700 Miamisburg-Centerville Rd,Dayton,OH,45459,Tops,,USA
Macy's,623,SOUTHERN PARK ,7401 Market St,Youngstown,OH,44512,Tops,,USA
Macy's,679,PENN SQUARE (OK),1901 NW Expressway ,Oklahoma City,OK,73118,Tops,,USA
Nordstrom,25,Washington Square,9700 S.W. Washington Square Road,Tigard,OR,97223,Loungewear & W+W,503-620-0555,USA
Nordstrom,24,Clackamas Town Center,11900 S.E. 82nd Avenue,Happy Valley,OR,97086,W+W,503-652-1810,USA
Macy's,381,CLACKAMAS TOWN CENTER,12100 SE 82nd Ave,Portland,OR,97266,Tops & Accessories,,USA
Macy's,382,EUGENE VALLEY RIVER Center (OR),100 Valley River Center,Eugene,OR,97401,Tops,,USA
Macy's,383,BEND RIVER,3188 N Highway 97 ,Bend,OR,97701,Tops,,USA
Macy's,385,MEDFORD ROGUE VALLEY,1800 North Riverside Dr,Medford,OR,97501,Tops,,USA
Macy's,387,SALEM CENTER,400 High Street NE,Salem,OR,97301,Tops,,USA
Macy's,388,TANASBOURNE STREETS (OR),2055 Northwest Allie Ave,Hillsboro,OR,97124,Tops,,USA
Macy's,392,WASHINGTON SQUARE (OR),9300 SW Washington Square Rd,Tigard,OR,97223,Tops & Accessories,,USA
Nordstrom,629,King of Prussia,190 N. Gulph Road,King of Prussia,PA,19406,W+W,610-265-6111,USA
Nordstrom,237,Ross Park,1000 Ross Park Mall Drive,Pittsburgh,PA,15237,W+W,412-548-4300,USA
Bloomingdales,16,King Of Prussia,2 Rt 202 North 660 West Dekalb Pike ,King of Prussia,PA,19406,Premade Only (Dreamer Style),,USA
Bloomingdales,17,Willow Grove Park,2400 Moreland Park Rd,Willow Grove,PA,19090,Premade Only (Dreamer Style),,USA
Macy's,54,WILLOW GROVE PARK,2500 West  Moreland Rd,Willow Grove,PA,19090,Tops,,USA
Macy's,64,OXFORD VALLEY,2300 East Lincoln Hwy,Langhorne,PA,19047,Tops,,USA
Macy's,70,LEHIGH VALLEY,300 Lehigh Valley Mall,Whitehall,PA,18052,Tops & Accessories,,USA
Macy's,90,KING OF PRUSSIA (THE COURT),680 West Dekalb Pike,King of Prussia,PA,19406,Tops & Accessories,,USA
Macy's,155,ROOSEVELT (PA),2399 Cottman Ave,Philadelphia,PA,19149,Tops,,USA
Macy's,213,CENTER CITY,1300 Market St,Philadelphia,PA,19107,Tops & Accessories,,USA
Macy's,620,ROSS PARK,1004 Ross Park Mall,Pittsburgh,PA,15237,Tops & Accessories,,USA
Macy's,621,SOUTH HILLS VILLAGE,100 South Hills Village,Pittsburgh,PA,15241,Tops & Accessories,,USA
Macy's,622,MONROEVILLE,400 Monroeville Mall,Monroeville,PA,15146,Tops,,USA
Macy's,632,THE MALL AT ROBINSON,3000 Robinsons Centre Dr,Pittsburgh,PA,15205,Tops,,USA
Macy's,634,WESTMORELAND,5256 State Route 30,Greensburg,PA,15601,Tops,,USA
Macy's,21,PLAZA LAS AMERICAS,525 FD Roosevelt Ave,San Juan,PR,00918,Tops & Accessories,,USA
Macy's,806,PLAZA DEL CARIBE,2050 Ponce By Pass,Ponce,PR,00717,Tops,,USA
Nordstrom,528,Providence Place,6 Providence Place,Providence,RI,2903,W+W,401-621-3111,USA
Macy's,39,Warwick Mall,400 Bald Hill Road ,Warwick,RI,02886,Tops & Accessories,,USA
Macy's,207,PROVIDENCE PLACE,7 Providence Place,Providence,RI,02903,Tops,,USA
Macy's,781,HAYWOOD,700 Haywood Dr,Greenville,SC,29607,Tops,,USA
Nordstrom,759,Green Hills,2130 Abbott Martin Road,Nashville,TN,37215,Loungewear,615-850-6700,USA
Macy's,795,OAK COURT,Oak Court 4545 Poplar ,Memphis,TN,38117,Tops,,USA
Macy's,796,WOLFCHASE GALLERIA,2840 N Germantown Pkwy,Barlett,TN,38133,Tops & Accessories,,USA
Macy's,797,GREEN HILLS,3813 Hillsboro Pk,Nashville,TN,37215,Tops & Accessories,,USA
Macy's,798,COOL SPRINGS GALLERIA,1790 Galleria Blvd,Franklin,TN,37067,Tops,,USA
Nordstrom,723,Northpark,8687 N. Central Expressway,Dallas,TX,75225,Loungewear,214-231-3900,USA
Nordstrom,730,Houston Galleria,5192 Hidalgo Street,Houston,TX,77056,Loungewear,832-201-2700,USA
Nordstrom,732,The Shops at La Cantera,15900 La Cantera Parkway,San Antonio,TX,78256,W+W,210-332-1900,USA
Nordstrom,731,Barton Creek Square Mall,2901 Capital of Texas Hwy S,Austin,TX,78746,W+W,512-691-3500,USA
Nordstrom,720,The Dallas Galleria,5220 Alpha Road,Dallas,TX,75240,W+W,972-702-0055,USA
Nordstrom,724,Stonebriar Mall,2613 Preston Road,Frisco,TX,75034,W+W,972-712-3794,USA
Macy's,455,CIELO VISTA,8401 Gateway West,El Paso,TX,79925,Tops & Accessories,,USA
Macy's,665,NORTHPARK CENTER ,8687 North Central Expressway,Dallas,TX,75225,Tops & Accessories,,USA
Macy's,666,GALLERIA (DALLAS),13375 Noel Rd,Dallas,TX,75240,Tops & Accessories,,USA
Macy's,667,STONEBRIAR CENTRE ,2609 Preston Rd,Frisco,TX,75034,Tops & Accessories,,USA
Macy's,671,SHOPS AT WILLOW BEND ,6209 West Park Blvd,Plano,TX,75093,Tops,,USA
Macy's,675,VILLAGE AT FAIRVIEW,201 Stacy Rd,Fairview,TX,75069,Tops,,USA
Macy's,676,PARKS AT ARLINGTON,3841 South Cooper St,Arlington,TX,76015,Accessories,,USA
Macy's,677,NORTH EAST TX,1101 Melbourne Rd ,Hurst,TX,76053,Tops & Accessories,,USA
Macy's,686,MEMORIAL CITY,900 Gossner Road,Houston,TX,77024,Tops & Accessories,,USA
Macy's,687,GALLERIA AT HOUSTON,5135 W Alabama,Houston,TX,77056,Tops & Accessories,,USA
Macy's,688,FIRST COLONY,16511 SW Freeway,Sugar Land,TX,77478,Tops & Accessories,,USA
Macy's,701,LA PLAZA,2100 South 10th St,Mcallen,TX,78503,Tops & Accessories,,USA
Macy's,702,NORTH STAR TX,7400 San Pedro Ave STE 200,San Antonio,TX,78216,Tops & Accessories,,USA
Macy's,704,BARTON CREEK SQUARE,2901 Capitol of Texas Hwy,Austin,TX,78746,Tops & Accessories,,USA
Macy's,705,SHOPS AT LA CANTERA*,15900 La Cantera Pkwy,San Antonio,TX,78256,Tops & Accessories,,USA
Macy's,706,LAKELINE ,11250 Lake Stop Blvd.,Austin,TX,78613,Tops,,USA
Macy's,710,THE DOMAIN ,11701 North Mopac Expressway,Austin,TX,78759,Tops & Accessories,,USA
Macy's,715,WILLOWBROOK ,4000 Willowbrook Mall,Houston,TX,77070,Tops & Accessories,,USA
Macy's,716,WOODLANDS ,1201 Lake woodlands Dr,The Woodlands,TX,77380,Tops & Accessories,,USA
Macy's,717,BAYBROOK,200 Baybrook Mall,Friendswood,TX,77546,Tops & Accessories,,USA
Macy's,718,DEERBROOK ,20131 Highway 59 N,Humble,TX,77338,Tops & Accessories,,USA
Macy's,720,ALMEDA,100 Almeda Mall,Houston,TX,77075,Tops,,USA
Macy's,724,PEARLAND,11200 Broadway Suite 950,Pearland,TX,77584,Tops,,USA
Nordstrom,32,Fashion Place,"6191 S. State Street, Suite 200",Murray,UT,84107,W+W,801-261-4402,USA
Macy's,418,SOUTH TOWNE CENTER (UT),10600 South 110 West ,Sandy,UT,84070,Tops,,USA
Macy's,427,Fashion Place,6117 South State StreetSuite 60,Murray,UT,84107,Tops,,USA
Macy's,449,CITY CREEK CENTER,21 South Main Street,Salt Lake City,UT,84111,Tops,,USA
Nordstrom,635,Short Pump Town Center,11812 W. Broad Street,Richmond,VA,23233,W+W,804-364-6900,USA
Nordstrom,621,Pentagon City,1400 S. Hayes Street,Arlington,VA,22202,W+W,703-415-1121,USA
Bloomingdales,14,Tysons Corner Flint,8100 Tysons Corner Center,MC Lean,VA,22102,Premade Only (Dreamer Style),,USA
Macy's,23,TYSONS CORNER CENTER,8000 Tysons Corner Center,Mclean,VA,22102,Tops & Accessories,,USA
Macy's,78,TYSONS GALLERIA,1651 International Dr,Mc Lean ,VA,22102,Tops,,USA
Macy's,84,SPRINGFIELD ,6400 T Springfield Mall,Springfield,VA,22150,Accessories,,USA
Macy's,95,FASHION Center AT PENTAGON CITY,1000 South Hayes St,Arlington,VA,22202,Tops & Accessories,,USA
Macy's,166,SHORT PUMP TOWN CENTER,11872 West Broad Street ,Richmond,VA,23233,Tops & Accessories,,USA
Macy's,249,LYNNHAVEN,701 South Lynnhaven Pkwy,Virginia Beach,VA,23452,Tops,,USA
Nordstrom,1,Downtown Seattle,500 Pine Street,Seattle,WA,98101,Loungewear & W+W,206-628-2111,USA
Nordstrom,4,Bellevue Square,100 Bellevue Square,Bellevue,WA,98004,Loungewear,425-455-5800,USA
Nordstrom,6,Tacoma Mall,"4502 S. Steele Street, Suite 800",Tacoma,WA,98409,W+W,253-475-3630,USA
Nordstrom,2,Northgate,401 N.E. Northgate Way,Seattle,WA,98125,W+W,206-364-8800,USA
Nordstrom,10,Alderwood,3200 184th Street SW,Lynnwood,WA,98037,W+W,425-771-5755,USA
Macy's,367,SEATTLE (DOWNTOWN),1601 Third Ave,Seattle,WA,98181,Tops,,USA
Macy's,368,BELLEVUE SQUARE,400 Bellevue Square,Bellevue,WA,98004,Tops & Accessories,,USA
Macy's,370,ALDERWOOD,18700 Alderwood Mall Blvd,Lynnwood,WA,98037,Tops & Accessories,,USA
Macy's,372,BELLINGHAM BELLIS FAIR (WA),50 Bellis Fair Pkwy,Bellingham,WA,98226,Tops,,USA
Macy's,373,SILVERDALE KITSAP (WA),10315 Silverdale Way ,Silverdale,WA,98383,Tops,,USA
Macy's,374,REDMOND TOWN CENTER,7400 166th Ave NE,Redmond,WA,98052,Tops,,USA
Macy's,384,VANCOUVER (WA),8208 NE Vancouver Mall Dr,Vancouver,WA,98662,Tops,,USA
Macy's,395,SPOKANE VALLEY,14740 E Indiana Ave,Spokane,WA,99216,Tops,,USA
Macy's,396,NORTHTOWN (WA),N 4770 Division,Spokane,WA,99207,Tops,,USA
Macy's,433,SOUTHCENTER (WA),500 Southcenter Mall,Tukwila,WA,98188,Tops & Accessories,,USA
Macy's,434,TACOMA,4502 South Steele #700,Tacoma,WA,98409,Tops,,USA
Macy's,435,COLUMBIA CENTER ,400 Columbia Center ,Kennewick,WA,99336,Tops,,USA
Macy's,436,OLYMPIA CAPITAL ,625 Black Lake Blvd SW #301,Olympia,WA,98502,Tops,,USA
Macy's,437,YAKIMA VALLEY MALL ,2525 Main St,Union Gap,WA,98903,Tops,,USA
Macy's,438,PUYALLUP SOUTH HILL ,3500 South Meridian ,Puyallup,WA,98373,Tops,,USA
Macy's,440,WENATCHEE VALLEY ,445 Valley Mall Pkwy,E Wenatchee,WA,98802,Tops,,USA
Macy's,260,MAYFAIR,2500 N Mayfair Rd,Wauwatosa,WI,53226,Tops & Accessories,,USA
Macy's,563,HUNTINGTON,Unit 300 Huntington Mall ,Barboursville,WV,25504,Tops,,USA
